input,target
"Simplify the phrase ""as in"" in the sentence: There is no suggestion that as at April 2017 when the AFR Locate trial commenced, SWP either recognised or ought to have recognised that the software it had licenced might operate in a way that was indirectly discriminatory.",meaning
"Simplify the phrase ""on behalf of"" in the sentence: In a statement dated 26 th November 2018 made on behalf of SWP, Dominic Edgell an officer in the SWP's Digital Services Division provided information about the rate of false positive matches based on deployments of AFR Locate between May 2017 and June 2018.",for
"Simplify the phrase ""in the course of"" in the sentence: In any event, as matters had developed in the course of the trial since April 2017, it is apparent from Mr. Edgell's evidence that SWP continues to review events against the section 1491 criteria.",while
"Simplify the phrase ""in the context of"" in the sentence: This is the approach required by the publicsector equality duty in the context of a trial process.",when
"Simplify the phrase ""in relation to"" in the sentence: Section 44 provided that it was: "" the duty of a data controller to comply with the data protection principles in relation to all personal data with respect to which he is the data controller"" subject to section 271 concerning the exemptions.",about
"Simplify the phrase ""in the case of"" in the sentence: In the case of the police, the relevant purposes are the administration of justice and the exercise of any other function of a public nature exercised in the public interest.",in
"Simplify the phrase ""in accordance with"" in the sentence: 6 Principle 6 is that personal data shall be processed in accordance with the rights of data subjects under this Act.",according to
"Simplify the phrase ""in accordance with"" in the sentence: A failure on the part of any person to act in accordance with any provision of the surveillance camera code does not of itself make that person liable to criminal or civil proceedings.",according to
"Simplify the phrase ""on the part of"" in the sentence: A failure on the part of any person to act in accordance with any provision of the surveillance camera code does not of itself make that person liable to criminal or civil proceedings.",for
"Simplify the phrase ""for the purposes of"" in the sentence: emphasis added Section 335 provides the list of ""relevant authorities"" for the purposes of this part of the Act.",for
"Simplify the phrase ""for the purposes of"" in the sentence: The Chief Constable of South Wales Police is therefore a relevant authority for the purposes of this Act.",for
"Simplify the phrase ""for the purpose of"" in the sentence: Article 10 permits the processing of biometric data for the purpose of uniquely identifying a natural person, unless it is both a strictly necessary and subject to appropriate safeguards for the rights and freedoms of the data subject; and b either authorised by State law, to protect the vital interests of the data subject or of another natural person, or where it relates to data manifestly made public by the data subject.",for
"Simplify the phrase ""in relation to"" in the sentence: In addition a each of sections 35, 36, 38 and 39 makes provision to supplement the principle to which it relates, and b sections 41 and 42 make provision about the safeguards that apply in relation to certain types of processing.",about
"Simplify the phrase ""in relation to"" in the sentence: The controller in relation to personal data is responsible for, and must be able to demonstrate, compliance with this Chapter.""",about
"Simplify the phrase ""for the purpose of"" in the sentence: In this section, ""sensitive processing"" means a the processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs or trade union membership; b the processing of genetic data, or of biometric data, for the purpose of uniquely identifying an individual; c the processing of data concerning health; d the processing of data concerning an individual's sex life or sexual orientation.""",for
"Simplify the phrase ""for the purpose of"" in the sentence: Article 10 Processing of special categories of personal data Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person , data concerning health or data concerning a natural person's sex life or sexual orientation shall be allowed only where strictly necessary, subject to appropriate safeguards for the rights and freedoms of the data subject, and only "" Definitions 25.",for
"Simplify the phrase ""for the purpose of"" in the sentence: Section 358 of the DPA 2018 defines ""sensitive processing"" as means activities including: "" the processing of biometric data for the purpose of uniquely identifying an individual.""",for
"Simplify the phrase ""for the purpose of"" in the sentence: Legal claims This condition is met if the processing c is necessary for the purpose of, or in connection with, any legal proceedings including prospective legal proceedings "" 30.",for
"Simplify the phrase ""in respect of"" in the sentence: Section 42 contains requirements in respect of the ""appropriate policy document"" referred to in section 354, that must be in place: ""42 Safeguards: sensitive processing 1",about
"Simplify the phrase ""for the purposes of"" in the sentence: This section applies for the purposes of section 354 and 5 which require a controller to have an appropriate policy document in place when carrying out sensitive processing in reliance on a condition specified in Schedule 8. 2",for
"Simplify the phrase ""in relation to"" in the sentence: The controller has an appropriate policy document in place in relation to the sensitive processing if the controller has produced a document which a explains the controller's procedures for securing compliance with the data protection principles see section 341 in connection with sensitive processing in reliance on the consent of the data subject or as the case may be in reliance on the condition in question, and b explains the controller's policies as regards the retention and erasure of personal data processed in reliance on the consent of the data subject or as the case may be in reliance on the condition in question, giving an indication of how long such personal data is likely to be retained.",about
"Simplify the phrase ""from time to time"" in the sentence: 3 Where personal data is processed on the basis that an appropriate policy document is in place, the controller must during the relevant period a retain the appropriate policy document, b review and if appropriate update it from time to time, and c make it available to the Commissioner, on request, without charge. 4",sometimes
"Simplify the phrase ""on behalf of"" in the sentence: The record maintained by the controller under section 611 and, where the sensitive processing is carried out by a processor on behalf of the controller, the record maintained by the processor under section 613 must include the following information a which condition in Schedule 8 is relied on, b",for
"Simplify the phrase ""in accordance with"" in the sentence: how the processing satisfies section 35 lawfulness of processing, and c whether the personal data is retained and erased in accordance with the policies described in subsection 2b and, if it is not, the reasons for not following those policies.",according to
"Simplify the phrase ""in relation to"" in the sentence: In this section, ""relevant period"", in relation to sensitive processing in reliance on a condition specified in Schedule 8, means a period which a begins when the controller starts to carry out the sensitive processing in reliance on that condition, and b ends at the end of the period of 6 months beginning when the controller ceases to carry out the processing.""",about
"Simplify the phrase ""in relation to"" in the sentence: The guidance explains the roles of the Surveillance Camera Commissioner and IC in relation to the regulation of the police use of AFR.",about
"Simplify the phrase ""in respect of"" in the sentence: In respect of watchlists there are suggestions concerning the nature of images used to produce watchlists.",about
"Simplify the phrase ""in relation to"" in the sentence: The Information Commissioner states that, whilst further clarification and detail is required particularly in relation to the specific Schedule 8 condition relied on for AFR, and on lawfulness and fairness, she is of the view that the SWP's current document does meet the requirements to constitute an overarching ""appropriate policy document"" within s.42 of the DPA 2018.",about
"Simplify the phrase ""for the purpose of"" in the sentence: SWP says that in practice intelligence in this context means knowledge of the attendance of the particular individual at the particular event for the purpose of the prevention and detection of crime.",for
"Simplify the phrase ""out of"" in the sentence: In particular, advertising AFR deployments on Facebook and Twitter, displaying notices on AFRequipped police vehicles and handing out of notices to members of the public see above.",from
"Simplify the phrase ""in accordance with"" in the sentence: However, in that case the Court considered it unnecessary to reach any conclusion on the in accordance with the law issue, and the comments that it did make see, generally, at paragraphs 94 107 have no specific application to the circumstances of AFR Locate.",according to
"Simplify the phrase ""as in"" in the sentence: It is assumed that this reference in paragraph 3.1 of the SCC AFR Guidance was intended to be to s.33 because s.311 concerns the Secretary of State keeping the Code of Practice under review.",meaning
"Simplify the phrase ""as a result of"" in the sentence: Introduction a The question for the court On 1 January 1973 the United Kingdom joined the European Communities, This occurred as a result of a process of Treaty negotiation by the government, the enactment of the European Communities Act 1972 ""the ECA 1972"" to give effect to Community law in the national legal systems of the United Kingdom and then ratification by the United Kingdom and other Member States of the amended Community Treaties, Thus, as a result of the ECA 1972, Parliament by primary legislation gave effect in each jurisdiction of the United Kingdom to binding obligations and rights arising under those Treaties.",because
"Simplify the phrase ""as a matter of"" in the sentence: The sole question in this case is whether, as a matter of the constitutional law of the United Kingdom, the Crown acting through the executive government of the day is entitled to use its prerogative powers to give notice under Article 50 for the United Kingdom to cease to be a member of the European Union.",about
"Simplify the phrase ""in respect of"" in the sentence: We are not in any way concerned with the use that may be made of the Crown's prerogative power, if such a power can as a matter of law be used in respect of Article 50, or what will follow if the Crown's prerogative powers cannot be so used.",about
"Simplify the phrase ""as a matter of"" in the sentence: We are not in any way concerned with the use that may be made of the Crown's prerogative power, if such a power can as a matter of law be used in respect of Article 50, or what will follow if the Crown's prerogative powers cannot be so used.",about
"Simplify the phrase ""as a result of"" in the sentence: Mr Gill QC focused on the position of another group of interested parties for whom he appeared, who are children and their carers whose immigration status in the United Kingdom may be affected as a result of notification under Article 50.",because
"Simplify the phrase ""in relation to"" in the sentence: The domestic effect of EU law under the ECA 1972 paragraphs 3756 4 Categories of rights arising under the ECA 1972 and EU law paragraphs 5766 5 UK legislation in relation to the EU subsequent to the ECA 1972 paragraphs 67 72 6 The parties' principal submissions paragraphs 7376 7",about
"Simplify the phrase ""in accordance with"" in the sentence: Any Member State may decide to withdraw from the Union in accordance with its own constitutional requirements, 2.",according to
"Simplify the phrase ""in the light of"" in the sentence: In the light of the guidelines provided by the European Council, the Union shall negotiate and conclude an agreement with that State, setting out the arrangements for its withdrawal, taking account of the framework for its future relationship with the Union.",considering
"Simplify the phrase ""in accordance with"" in the sentence: That agreement shall be negotiated in accordance with Article 2183 of the Treaty on the Functioning of the European Union.",according to
"Simplify the phrase ""on behalf of"" in the sentence: It shall be concluded on behalf of the Union by the Council, acting by a qualified majority, after obtaining the consent of the European Parliament.",for
"Simplify the phrase ""for the purposes of"" in the sentence: For the purposes of paragraphs 2 and 3, the member of the European Council or of the Council representing the withdrawing Member State shall not participate in the discussions of the European Council or Council or in decisions concerning it.",for
"Simplify the phrase ""in accordance with"" in the sentence: A qualified majority shall be defined in accordance with Article 2383b of the Treaty on the Functioning of the European Union.",according to
"Simplify the phrase ""in respect of"" in the sentence: b Common ground: notice is irrevocable and cannot be conditional Important matters in respect of Article 50 were common ground between the parties: 1 a notice under Article 502 cannot be withdrawn, once it is given; and 2 Article 50 does not allow for a conditional notice to be given: a notice cannot be qualified by, for example, saying that it will only take effect if Parliament approves any agreement made in the course of the negotiations contemplated by Article 502.",about
"Simplify the phrase ""in the course of"" in the sentence: b Common ground: notice is irrevocable and cannot be conditional Important matters in respect of Article 50 were common ground between the parties: 1 a notice under Article 502 cannot be withdrawn, once it is given; and 2 Article 50 does not allow for a conditional notice to be given: a notice cannot be qualified by, for example, saying that it will only take effect if Parliament approves any agreement made in the course of the negotiations contemplated by Article 502.",while
"Simplify the phrase ""by virtue of"" in the sentence: Moreover, if by virtue of the operation of the procedure under section 20 a decision were taken that a withdrawal agreement should not be ratified, meaning that it did not come into effect as an agreement, the effect would be that the basic two year period would continue to run under Article 503 so that the EU Treaties would cease to apply to the United Kingdom at the expiry of that period or any agreed extension.",because of
"Simplify the phrase ""in accordance with"" in the sentence: If the Crown has no prerogative power under the constitutional law of the United Kingdom to give a notice under Article 502, then it would appear to follow that under the provisions of Article 501 it cannot, on behalf of the United Kingdom, acting solely under its prerogative powers, make a decision to withdraw ""in accordance with the United Kingdom's own constitutional requirements"".",according to
"Simplify the phrase ""on behalf of"" in the sentence: If the Crown has no prerogative power under the constitutional law of the United Kingdom to give a notice under Article 502, then it would appear to follow that under the provisions of Article 501 it cannot, on behalf of the United Kingdom, acting solely under its prerogative powers, make a decision to withdraw ""in accordance with the United Kingdom's own constitutional requirements"".",for
"Simplify the phrase ""in relation to"" in the sentence: However, we agree with the submission of Lord Pannick QC that, whatever the position in relation to any decision under Article 501, a decision to give notice under Article 502 is certainly the appropriate target for this legal challenge, since it is the giving of notice which triggers the effects under Article 502 and 3 leading to the exit of a Member State from the European Union and from the relevant Treaties. 2",about
"Simplify the phrase ""in relation to"" in the sentence: Although this court only has jurisdiction to apply the law of England and Wales, we note that noone in these proceedings has suggested that such parts of constitutional law in Scotland and Northern Ireland in relation to the interaction between statute and the Crown's prerogative powers as are relevant to determine the outcome in this case are any different from the law of England and Wales on that topic.",about
"Simplify the phrase ""as a matter of"" in the sentence: Amongst other things, this has the corollary that it cannot be said that a law is invalid as being opposed to the opinion of the electorate, since as a matter of law: ""'The judges know nothing about any will of the people except in so far as that will is expressed by an Act of Parliament, and would never suffer the validity of a statute to be questioned on the ground of its having been passed or being kept alive in opposition to the wishes of the electors.""",about
"Simplify the phrase ""on the ground of"" in the sentence: Amongst other things, this has the corollary that it cannot be said that a law is invalid as being opposed to the opinion of the electorate, since as a matter of law: ""'The judges know nothing about any will of the people except in so far as that will is expressed by an Act of Parliament, and would never suffer the validity of a statute to be questioned on the ground of its having been passed or being kept alive in opposition to the wishes of the electors.""",because of
"Simplify the phrase ""out of"" in the sentence: The legal position was summarised by the Privy Council in The Zamora 1916 2 AC 77 , at 90: ""The idea that the King in Council, or indeed any branch of the Executive, has power to prescribe or alter the law to be administered by Courts of law in this country is out of harmony with the principles of our Constitution.",from
"Simplify the phrase ""on behalf of"" in the sentence: d The power under the Crown's prerogative to make and unmake treaties Another settled feature of UK constitutional law is that, as a general rule applicable in normal circumstances, the conduct of international relations and the making and unmaking of treaties on behalf of the United Kingdom are regarded as matters for the Crown in the exercise of its prerogative powers.",for
"Simplify the phrase ""in the context of"" in the sentence: The effect of Treaties on the domestic law of the United Kingdom The general rule that the conduct of international relations, including the making and unmaking of treaties, is a matter for the Crown in exercise of its prerogative powers arises in the context of the basic constitutional principle to which we have referred at paragraph 25 above, that the Crown cannot change domestic law by any exercise of its prerogative powers.",when
"Simplify the phrase ""out of"" in the sentence: The general position was explained by Lord Oliver of Aylmerton giving the leading speech in the Tin Council case, J.H. Rayner Mincing Lane Ltd v Department of Trade and Industry 1990 2 AC 418, at 499E500D as follows: ""It is axiomatic that municipal courts have not and cannot have the competence to adjudicate upon or to enforce the rights arising out of transactions entered into by independent sovereign states between themselves on the plane of international law.",from
"Simplify the phrase ""in relation to"" in the sentence: The Sovereign acts ""throughout the making of the treaty and in relation to each and every of its stipulations in her sovereign character, and by her own inherent authority; and, as in making the treaty, so in performing the treaty, she is beyond the control of municipal law, and her acts are not to be examined in her own courts:"" Rustomjee v. The Queen 1876 2 Q.B.D. 69, 74, per Lord Coleridge C.J.",about
"Simplify the phrase ""as in"" in the sentence: The Sovereign acts ""throughout the making of the treaty and in relation to each and every of its stipulations in her sovereign character, and by her own inherent authority; and, as in making the treaty, so in performing the treaty, she is beyond the control of municipal law, and her acts are not to be examined in her own courts:"" Rustomjee v. The Queen 1876 2 Q.B.D. 69, 74, per Lord Coleridge C.J.",meaning
"Simplify the phrase ""as a matter of"" in the sentence: The second is that, as a matter of the constitutional law of the United Kingdom, the Royal Prerogative, whilst it embraces the making of treaties, does not extend to altering the law or conferring rights upon individuals or depriving individuals of rights which they enjoy in domestic law without the intervention of Parliament.",about
"Simplify the phrase ""as in"" in the sentence: So far as individuals are concerned, it is res inter alios acta from which they cannot derive rights and by which they cannot be deprived of rights or subjected to obligations; and it is outside the purview of the court not only because it is made in the conduct of foreign relations, which are a prerogative of the Crown, but also because, as a source of rights and obligations, it is irrelevant.""",meaning
"Simplify the phrase ""in relation to"" in the sentence: We would add that treaties can have certain indirect interpretive effects in relation to domestic law, such as those discussed in R v Lyons 2002 UKHL 44 ; 2003 1 AC 976 at 2728; but this does not affect the basic position that the Crown cannot through the use of its prerogative powers increase or diminish or dispense with the rights of individuals or companies conferred by common law or statute or change domestic law in any way without the intervention of Parliament.",about
"Simplify the phrase ""on the part of"" in the sentence: Hence, it is argued, Parliament must be taken to have recognised that the Crown would have power to give notice under Article 50 in the exercise of its prerogative to conduct international relations on the part of the United Kingdom and thereby intended that the Crown should have power to bring about the changes in domestic law about which the claimants complain.",for
"Simplify the phrase ""from time to time"" in the sentence: Put very shortly, therefore, EU law as contained in the relevant Treaties in some parts contains rights for individuals and in other parts creates lawmaking institutions which can legislate to make new legally binding norms of EU law from time to time.",sometimes
"Simplify the phrase ""as in"" in the sentence: Controversial issues of EU law are to be referred by national courts to the CJEU for authoritative determination by that Court, and national courts are obliged to apply EU law as interpreted by the CJEU.",meaning
"Simplify the phrase ""as to"" in the sentence: Where EU law does not have direct effect but domestic legislation is introduced by a Member State to comply with its obligations under a Directive or other EU law, then as a matter of EU law a strong interpretive obligation applies so that the domestic legislation must be interpreted so as to be compatible with EU law wherever possible: Case C10689, Mar leasing ECLI:EU:C:1990:395 .",about
"Simplify the phrase ""as a matter of"" in the sentence: Where EU law does not have direct effect but domestic legislation is introduced by a Member State to comply with its obligations under a Directive or other EU law, then as a matter of EU law a strong interpretive obligation applies so that the domestic legislation must be interpreted so as to be compatible with EU law wherever possible: Case C10689, Mar leasing ECLI:EU:C:1990:395 .",about
"Simplify the phrase ""by reason of"" in the sentence: The need for the ECA 1972 and its effect on the law of the United Kingdom As a practical matter, by reason of the limits on its prerogative powers referred to at paragraph 25 above, the Crown could not have ratified the accession of the United Kingdom to the European Communities under the Community Treaties unless Parliament had enacted legislation.",because
"Simplify the phrase ""as to"" in the sentence: As we have explained at paragraph 1 above, this was done by the enactment of the ECA 1972 in contemplation of the United Kingdom becoming part of the European Communities by accession to the Community Treaties so as to allow that to happen.",about
"Simplify the phrase ""by reason of"" in the sentence: If this legislation had not first been put in place, ratification of the Treaties by the Crown would immediately have resulted in the United Kingdom being in breach of its obligations under them, by reason of the absence of provision for direct effect of EU law in domestic law.",because
"Simplify the phrase ""by virtue of"" in the sentence: By virtue of the ECA 1972, the national courts give full effect to EU law as part of the domestic law applied by them.",because of
"Simplify the phrase ""in relation to"" in the sentence: It defines ""the Treaties"" to mean the preaccession treaties described in Part I of Schedule I to the Act, ""taken with"" further specific treaties entered into since accession which are listed in the subsection: ""and any other treaty entered into by the EU except in so far as it relates to, or could be applied in relation to, the Common Foreign and Security Policy, with or without any of the member States, or entered into, as a treaty ancillary to any of the Treaties, by the United Kingdom.""",about
"Simplify the phrase ""as a result of"" in the sentence: It gives effect to the United Kingdom's membership of the European Union and makes the changes to domestic law that are required as a result of membership.",because
"Simplify the phrase ""in accordance with"" in the sentence: Section 21 provides: ""All such rights, powers, liabilities, obligations and restrictions from time to time created or arising by or under the Treaties, and all such remedies and procedures from time to time provided for by or under the Treaties, as in accordance with the Treaties are without further enactment to be given legal effect or used in the United Kingdom shall be recognised and available in law, and be enforced, allowed and followed accordingly; and the expression 'enforceable EU right' and similar expressions shall be read as referring to one to which this subsection applies.""",according to
"Simplify the phrase ""from time to time"" in the sentence: Section 21 provides: ""All such rights, powers, liabilities, obligations and restrictions from time to time created or arising by or under the Treaties, and all such remedies and procedures from time to time provided for by or under the Treaties, as in accordance with the Treaties are without further enactment to be given legal effect or used in the United Kingdom shall be recognised and available in law, and be enforced, allowed and followed accordingly; and the expression 'enforceable EU right' and similar expressions shall be read as referring to one to which this subsection applies.""",sometimes
"Simplify the phrase ""as in"" in the sentence: Section 21 provides: ""All such rights, powers, liabilities, obligations and restrictions from time to time created or arising by or under the Treaties, and all such remedies and procedures from time to time provided for by or under the Treaties, as in accordance with the Treaties are without further enactment to be given legal effect or used in the United Kingdom shall be recognised and available in law, and be enforced, allowed and followed accordingly; and the expression 'enforceable EU right' and similar expressions shall be read as referring to one to which this subsection applies.""",meaning
"Simplify the phrase ""by virtue of"" in the sentence: By virtue of this provision all directly applicable EU law is made part of United Kingdom law and is enforceable as such.",because of
"Simplify the phrase ""in relation to"" in the sentence: It is common ground that if the United Kingdom withdraws from the Treaties pursuant to a notice given under Article 50 of the TEU, there will no longer be any enforceable EU rights in relation to which this provision will have any application.",about
"Simplify the phrase ""out of"" in the sentence: Section 22 confers power to implement any EU law obligation of the United Kingdom into domestic law, as follows: ""Subject to Schedule 2 to this Act, at any time after its passing Her Majesty may by Order in Council, and any designated Minister or department may by order, rules, regulations or scheme, make provision a for the purpose of implementing any EU obligation of the United Kingdom, or enabling any such obligation to be implemented, or of enabling any rights enjoyed or to be enjoyed by the United Kingdom under or by virtue of the Treaties to be exercised; or b for the purpose of dealing with matters arising out of or related to any such obligation or rights or the coming into force, or the operation from time to time, of subsection 1 above; .""",from
"Simplify the phrase ""from time to time"" in the sentence: Section 22 confers power to implement any EU law obligation of the United Kingdom into domestic law, as follows: ""Subject to Schedule 2 to this Act, at any time after its passing Her Majesty may by Order in Council, and any designated Minister or department may by order, rules, regulations or scheme, make provision a for the purpose of implementing any EU obligation of the United Kingdom, or enabling any such obligation to be implemented, or of enabling any rights enjoyed or to be enjoyed by the United Kingdom under or by virtue of the Treaties to be exercised; or b for the purpose of dealing with matters arising out of or related to any such obligation or rights or the coming into force, or the operation from time to time, of subsection 1 above; .""",sometimes
"Simplify the phrase ""for the purpose of"" in the sentence: Section 22 confers power to implement any EU law obligation of the United Kingdom into domestic law, as follows: ""Subject to Schedule 2 to this Act, at any time after its passing Her Majesty may by Order in Council, and any designated Minister or department may by order, rules, regulations or scheme, make provision a for the purpose of implementing any EU obligation of the United Kingdom, or enabling any such obligation to be implemented, or of enabling any rights enjoyed or to be enjoyed by the United Kingdom under or by virtue of the Treaties to be exercised; or b for the purpose of dealing with matters arising out of or related to any such obligation or rights or the coming into force, or the operation from time to time, of subsection 1 above; .""",for
"Simplify the phrase ""by virtue of"" in the sentence: Section 22 confers power to implement any EU law obligation of the United Kingdom into domestic law, as follows: ""Subject to Schedule 2 to this Act, at any time after its passing Her Majesty may by Order in Council, and any designated Minister or department may by order, rules, regulations or scheme, make provision a for the purpose of implementing any EU obligation of the United Kingdom, or enabling any such obligation to be implemented, or of enabling any rights enjoyed or to be enjoyed by the United Kingdom under or by virtue of the Treaties to be exercised; or b for the purpose of dealing with matters arising out of or related to any such obligation or rights or the coming into force, or the operation from time to time, of subsection 1 above; .""",because of
"Simplify the phrase ""as to"" in the sentence: Section 31 requires the national courts in the United Kingdom to follow the rulings of the CJEU in the interpretation of EU law, as follows: ""For the purposes of all legal proceedings any question as to the meaning or effect of any of the Treaties, or as to the validity, meaning or effect of any EU instrument, shall be treated as a question of law and, if not referred to the European Court, be for determination as such In accordance with the principles laid down by and any relevant decision of the European Court"".",about
"Simplify the phrase ""for the purposes of"" in the sentence: Section 31 requires the national courts in the United Kingdom to follow the rulings of the CJEU in the interpretation of EU law, as follows: ""For the purposes of all legal proceedings any question as to the meaning or effect of any of the Treaties, or as to the validity, meaning or effect of any EU instrument, shall be treated as a question of law and, if not referred to the European Court, be for determination as such In accordance with the principles laid down by and any relevant decision of the European Court"".",for
"Simplify the phrase ""in accordance with"" in the sentence: Section 31 requires the national courts in the United Kingdom to follow the rulings of the CJEU in the interpretation of EU law, as follows: ""For the purposes of all legal proceedings any question as to the meaning or effect of any of the Treaties, or as to the validity, meaning or effect of any EU instrument, shall be treated as a question of law and, if not referred to the European Court, be for determination as such In accordance with the principles laid down by and any relevant decision of the European Court"".",according to
"Simplify the phrase ""for the purposes of"" in the sentence: For the purposes of analysis in this case it is helpful to use this scheme, although it is, of necessity, rather simplified.",for
"Simplify the phrase ""in relation to"" in the sentence: The second category of rights is those enjoyed by British citizens and companies in relation to their activities in other Member States, as provided for by EU law, for example pursuant to rights of free movement of persons and of capital and rights of freedom of establishment ""category ii rights"".",about
"Simplify the phrase ""on behalf of"" in the sentence: Mr Eadie QC, on behalf of the Secretary of State, characterised these as rights flowing from the membership of ""the EU club"".",for
"Simplify the phrase ""as to"" in the sentence: So is the right to seek to persuade the EU Commission to take regulatory action in relation to matters within the United Kingdom, such as to investigate a violation of EU competition law or of EU environmental protection legislation occurring within the United Kingdom and grant a remedy in relation to it.",about
"Simplify the phrase ""in relation to"" in the sentence: So is the right to seek to persuade the EU Commission to take regulatory action in relation to matters within the United Kingdom, such as to investigate a violation of EU competition law or of EU environmental protection legislation occurring within the United Kingdom and grant a remedy in relation to it.",about
"Simplify the phrase ""as to"" in the sentence: d The effect of withdrawal of the rights The point of discussion of these categories of rights at the hearing was to examine the extent to which withdrawal of the United Kingdom from the relevant EU Treaties would affect rights in domestic law and would undo or modify the legal effects as brought about by Parliament through the enactment of the ECA 1972.",about
"Simplify the phrase ""as to"" in the sentence: As to category i rights, we consider that the claimants are correct in their submission that it is the ECA 1972 which is the principal legislation under which these rights are given effect in domestic law of the United Kingdom: and that it is no answer to their case to say that some of them might be preserved under new primary legislation, yet to be enacted, when withdrawal pursuant to Article 50 takes place.",about
"Simplify the phrase ""on behalf of"" in the sentence: The Secretary of State says, further, that the effect of EU law on other Member States for the benefit of British citizens was brought about by ratification of the relevant EU Treaties by the Crown on behalf of the United Kingdom on the international plane and the reciprocal ratification of those treaties by other Member States, also on the international plane.",for
"Simplify the phrase ""in relation to"" in the sentence: 5 UK legislation in relation to the EU subsequent to the ECA 1972 a The European Communities Amendment Act 2008 As mentioned at paragraph 46 above, the ECA 1972 has been amended on a number of occasions to give effect to new EU Treaties as they have been made and ratified by the United Kingdom.",about
"Simplify the phrase ""in relation to"" in the sentence: Section 6 of the 2008 Act provided for parliamentary control of Ministers before they took any action in relation to certain decisions to increase the powers of the EU institutions.",about
"Simplify the phrase ""in relation to"" in the sentence: It did not provide for any similar parliamentary control in relation to a decision to give notice under Article 50 of the TEU.",about
"Simplify the phrase ""in relation to"" in the sentence: The European Parliamentary Elections Act 2002 The European Parliamentary Elections Act 2002 ""the 2002 Act"" makes provision in relation to elections to the European Parliament.",about
"Simplify the phrase ""in respect of"" in the sentence: Section 1 provides that there shall be 73 members of the European Parliament elected for the United Kingdom in respect of 12 electoral regions.",about
"Simplify the phrase ""as in"" in the sentence: At the time the United Kingdom decided to join the European Communities the European Parliament was in place, with members selected from parliamentarians in each Member State but not yet elected, and there was at that stage a requirement that proposals should be drawn up for elections by direct universal suffrage: see Part 5 of the Treaty of Rome 1957.",meaning
"Simplify the phrase ""in relation to"" in the sentence: Section 3 provides that similar conditions would have to be fulfilled in relation to amendment of the TFEU under the simplified revision procedure under Article 486 of the TEU.",about
"Simplify the phrase ""in relation to"" in the sentence: The remainder of the Act made provision in relation to the holding of that referendum.",about
"Simplify the phrase ""in relation to"" in the sentence: We set out at paragraph 105 the position of the Secretary of State in relation to this Act.",about
"Simplify the phrase ""in relation to"" in the sentence: The claimants' alternative submission is that, if they are wrong in their primary contention that the Crown is prevented under the principles of the constitutional law of the United Kingdom from giving notice under Article 50 without express authority from Parliament, any power under the Crown's prerogative to do so has been removed by the ECA 1972 or by subsequent legislation in relation to the European Union, in addition, Mr Green QC argued in the further alternative that any relevant power under the Crown's prerogative was removed by the EUA 2011.",about
"Simplify the phrase ""in relation to"" in the sentence: The Secretary of State submits as follows: 1 Parliament could choose to leave or not to abrogate prerogative power in the hands of the Crown, even if its use would result in a change to common law and statutory rights, 2 It was clear from ex p. ReesMogg that, unless express words could be found in a statute, Parliament could not be taken to have abrogated the Crown's prerogative powers in relation to the EU Treaties so that notice under Article 502 could be given with the consequences that followed in the form of either a withdrawal treaty or automatic departure.",about
"Simplify the phrase ""in the context of"" in the sentence: Alternatively, applying the guidance in De Keyser's Royal Hotel in the context of the EU Treaties, Parliament could not be taken to have abrogated such prerogative power unless by express words in a statute or possibly by necessary implication from a statute.",when
"Simplify the phrase ""by way of"" in the sentence: As it is likely that any withdrawal treaty would contain a provision requiring ratification, the withdrawal treaty would in any event have to be approved by Parliament by way of the negative resolution procedure in the CRAG 2010 before that occurred; if it contained provisions requiring application in domestic law, primary legislation would also need to be introduced to allow that.",for
"Simplify the phrase ""on the part of"" in the sentence: He maintains that under section 21 of the ECA 1972 the content of EU rights is defined by reference to the EU Treaties, This means that Parliament intended there to be a continuing condition for the existence of any EU rights to be given effect in domestic law under section 21, in the shape of the continued membership of the European Union on the part of the United Kingdom; and that whether that condition is satisfied or not was intended by Parliament to depend entirely upon the action of the Crown on the plane of international law.",for
"Simplify the phrase ""as in"" in the sentence: He maintains that under section 21 of the ECA 1972 the content of EU rights is defined by reference to the EU Treaties, This means that Parliament intended there to be a continuing condition for the existence of any EU rights to be given effect in domestic law under section 21, in the shape of the continued membership of the European Union on the part of the United Kingdom; and that whether that condition is satisfied or not was intended by Parliament to depend entirely upon the action of the Crown on the plane of international law.",meaning
"Simplify the phrase ""as to"" in the sentence: If the Secretary of State's contention as to the proper meaning of section 21 of the ECA 1972 is correct, there is no violation of the principle in The Case on Proclamations, summarised in The Zamora, as set out at paragraphs 2729 above.",about
"Simplify the phrase ""as to"" in the sentence: In that case, on the proper interpretation of the legislation in question in its particular context, the extent of application of the legislative regime was to be determined by reference to the concept of the United Kingdom's territorial waters, as they happened to be defined from time to time by the Crown by making relevant claims regarding their extent in the conduct of international relations under its prerogative powers.",about
"Simplify the phrase ""from time to time"" in the sentence: In that case, on the proper interpretation of the legislation in question in its particular context, the extent of application of the legislative regime was to be determined by reference to the concept of the United Kingdom's territorial waters, as they happened to be defined from time to time by the Crown by making relevant claims regarding their extent in the conduct of international relations under its prerogative powers.",sometimes
